;sp260223_001 ch: 1907283U1;;sp260223_001 ch: 7513481SP;
Wavelength [nm];Intensity;Wavelength [nm];intensity;
222,6937;144,41259;207,6063;70,676274;
222,9826;134,42844;207,8935;69,696154;
223,2715;139,76051;208,1807;69,961816;
223,5604;144,43727;208,4679;69,66555;
223,8493;146,20737;208,7551;66,990568;
224,1382;143,73295;209,0422;66,069845;
224,4271;143,73108;209,3294;66,505697;
224,7160;152,19827;209,6166;71,791134;
225,0049;147,19267;209,9038;76,073724;
225,2937;146,65926;210,1910;67,533572;
225,5826;145,52908;210,4782;69,260028;
225,8715;143,03828;210,7654;71,543224;
226,1604;139,51799;211,0526;70,414459;
226,4493;142,27026;211,3398;76,559605;
226,7382;146,1875;211,6270;64,51973;
227,0271;145,45882;211,9142;75,770934;
227,3160;153,28685;212,2013;73,098301;
227,6049;149,8228;212,4885;73,337752;
227,8938;149,1304;212,7757;76,311471;
228,1827;157,43553;213,0629;76,913843;
228,4716;140,09325;213,3501;75,948884;
228,7605;147,64441;213,6373;74,110307;
229,0494;135,00021;213,9245;74,322926;
229,3383;140,6899;214,2117;79,24478;
229,6272;146,91829;214,4989;77,762292;
229,9160;156,05424;214,7861;72,258483;
230,2049;147,28928;215,0733;72,280031;
230,4938;152,35795;215,3605;77,538809;
230,7827;146,81941;215,6476;81,795046;
231,0716;148,40885;215,9348;80,166419;
231,3605;156,43261;216,2220;76,433841;
231,6494;150,36287;216,5092;74,329577;
231,9383;140,48762;216,7964;76,854735;
232,2272;148,11474;217,0836;80,328838;
232,5161;147,56908;217,3708;78,369172;
232,8050;138,49415;217,6580;73,390602;
233,0939;139,74249;217,9452;76,881078;
233,3828;149,5183;218,2324;73,366317;
233,6717;152,51785;218,5196;77,35275;
233,9606;150,83548;218,8067;75,816383;
234,2495;154,56546;219,0939;80,178139;
234,5383;156,90301;219,3811;77,275784;
234,8272;155,97862;219,6683;72,485477;
235,1161;156,94648;219,9555;79,043656;
235,4050;150,85025;220,2427;73,788105;
235,6939;158,03608;220,5299;73,704726;
235,9828;155,96746;220,8171;74,904335;
236,2717;158,44736;221,1043;76,927274;
236,5606;145,4223;221,3915;80,020562;
236,8495;156,79391;221,6787;81,148576;
237,1384;172,12717;221,9658;77,106083;
237,4273;168,2441;222,2530;75,752475;
237,7162;169,88624;222,5402;79,996406;
238,0051;175,18179;222,8274;80,110505;
238,2940;163,69849;223,1146;78,97165;
238,5829;175,34709;223,4018;75,47034;
238,8718;170,23662;223,6890;78,363353;
239,1606;167,0962;223,9762;83,448227;
239,4495;164,44892;224,2634;75,91314;
239,7384;163,32766;224,5506;81,980022;
240,0273;159,15811;224,8378;77,606983;
240,3162;163,90655;225,1250;74,777511;
240,6051;158,37671;225,4121;68,229182;
240,8940;145,15895;225,6993;71,117927;
241,1829;142,42443;225,9865;76,841707;
241,4718;144,23819;226,2737;78,807266;
241,7607;144,33301;226,5609;83,376428;
242,0496;140,44288;226,8481;82,548994;
242,3385;142,63945;227,1353;80,914276;
242,6274;152,24896;227,4225;83,82601;
242,9163;132,82573;227,7097;79,3038;
243,2052;140,33094;227,9969;78,952567;
243,4941;138,77261;228,2841;84,903967;
243,7829;146,82894;228,5712;82,22032;
244,0718;140,35939;228,8584;78,698831;
244,3607;126,35284;229,1456;77,404857;
244,6496;137,28619;229,4328;76,101284;
244,9385;118,78282;229,7200;80,167694;
245,2274;126,9822;230,0072;78,338428;
245,5163;121,51886;230,2944;79,345408;
245,8052;123,70954;230,5816;81,231415;
246,0941;125,44641;230,8688;78,488655;
246,3830;131,44199;231,1560;81,565939;
246,6719;130,96119;231,4432;83,295784;
246,9608;133,54202;231,7304;87,216935;
247,2497;124,69069;232,0175;72,249169;
247,5386;124,11157;232,3047;77,716604;
247,8275;128,24429;232,5919;79,297472;
248,1164;133,86297;232,8791;77,022223;
248,4052;147,09245;233,1663;76,433378;
248,6941;140,65526;233,4535;85,41173;
